_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
635662f0c8c818a095dd7c76||43.55|94.52|43.55|69.25|136,0,0,0|words|25|-1|0|37.47|0|0|false|false|english|none|normal|false|false|false||1666605808000
6343e009a9e0f04cda2d546e||43.55|94.12|43.55|64.72|45,0,0,0|words|10|-1|0|12.4|0|0|false|false|english|none|normal|false|false|false||1665392649000
634419d1a9e0f04cda7635f0||43.47|91.67|43.47|64.65|53,0,0,0|words|10|-1|0|14.63|0|0|false|false|english|none|normal|false|false|false||1665407441000
640ffa0e6d3feedce151dacf||43.42|92.96|43.42|63.91|132,0,0,0|words|25|-1|0|36.48|0|0|false|false|english|none|normal|false|false|false||1678768654000
63403699e65ec910001d2f49|true|43.29|93.22|43.29|71.44|53,0,0,0|words|10|-1|0|14.69|0|0|false|false|english_1k|none|normal|false|false|false||1665152665000
64003a645027fd0b05c4000c||43.25|93.98|43.25|56.55|123,0,0,0|words|25|-1|0|34.13|0|0|false|false|english|none|normal|false|false|false||1677736548000
63358a5f7d21d9a8806252b7||43.23|92.59|43.23|67.72|50,0,0,0|words|10|-1|0|13.88|0|0|false|false|english|none|normal|false|false|false||1664453215000
632efb23223bd1e9ced4f366|true|43.14|95.07|43.14|64.9|268,0,0,0|words|50|-1|0|74.55|0|0|false|false|english|none|normal|false|false|false||1664023331000
637b454129e6b7412e3d0558||43.09|91.24|43.09|59.35|123,0,0,0|words|25|-1|0|34.25|0|0|false|false|english|none|normal|false|false|false||1669023041000
6343e03ea9e0f04cda2d5605||43.08|94.23|43.08|56.36|49,0,0,0|words|10|-1|0|13.65|0|0|false|false|english|none|normal|false|false|false||1665392702000
640c4e7f86f61427335e1487||43.07|94.04|43.07|60.21|142,0,0,0|words|25|-1|0|39.56|0|0|false|false|english|none|normal|false|false|false||1678528127000
63358afb7d21d9a880625794||43.07|91.94|43.07|62.53|57,0,0,0|words|10|-1|0|15.88|0|0|false|false|english|none|normal|false|false|false||1664453371000
641012b26d3feedce17aef4e|true|43.02|90.53|43.02|63.45|151,0,0,0|words|25|-1|0|42.12|0|0|false|false|english_1k|none|normal|false|false|false||1678774962000
641011966d3feedce17ae7c3||43.01|91.03|43.01|57.21|140,0,0,0|words|25|-1|0|39.06|0|0|false|false|english|none|normal|false|false|false||1678774678000
